,activity,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_median,acc_x_q25,acc_x_q75,acc_x_iqr,acc_x_skew,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_median,acc_y_q25,acc_y_q75,acc_y_iqr,acc_y_skew,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_median,acc_z_q25,acc_z_q75,acc_z_iqr,acc_z_skew,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_median,gyro_x_q25,gyro_x_q75,gyro_x_iqr,gyro_x_skew,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_median,gyro_y_q25,gyro_y_q75,gyro_y_iqr,gyro_y_skew,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_median,gyro_z_q25,gyro_z_q75,gyro_z_iqr,gyro_z_skew
0,jumpingjacks,1.6967541041072818,2.400502146861932,-5.069313,7.9960475,1.6400647,0.82991663,2.6338658,1.80394917,-0.04461431086203639,-0.45141551038652133,2.3021425190895126,-5.6756733,6.0550604,-0.77097684,-1.4465274,0.3492459049999999,1.7957733049999998,0.6169469620297373,0.810683162703076,1.083076587145885,-2.2079859,3.95568,0.9304282587935624,0.1951870928717312,1.4255208243354225,1.2303337314636913,-0.20090230393684694,0.02354726097688233,3.3245152134780245,-8.579602,7.7983055,0.53878313,-2.6487130807844204,2.4301646750884056,5.078877755872826,-0.2744318476736043,0.27641531412347586,2.7274941587538777,-8.085412,9.948551,0.042760566,-1.8338175,2.15024562,3.98406312,0.28121496530807844,0.055602210910781436,6.587910060761804,-9.690562666666668,13.51234,-0.6786759992639999,-6.850261266922472,6.648979155660852,13.499240422583323,0.13209050381642426
1,jumpingjacks,1.2192969935992375,1.8589008215087177,-3.414605,7.960781300000001,1.2996049,0.1594821342593355,1.99992745142528,1.8404453171659445,0.362895858472198,-0.06946426319157245,2.2184762301862766,-4.6858993,6.2301712,-0.31519994,-1.1712309322295469,0.6208012681338959,1.7920322003634428,0.6610347535303317,0.5742996745601092,0.9724657633310325,-3.0757314,4.8203745,0.6222086874999999,0.09274176,1.06152695,0.96878519,0.15097198825272595,-0.04318112543287441,3.56795129768719,-7.839234,8.784243,0.7208183383443472,-3.1007519,2.9144940528723327,6.015245952872332,-0.20786488853473473,-0.055601168850268355,2.2565574066158303,-6.77816075,8.3407545,-0.1338123007520086,-1.475565975439579,1.029102367811276,2.504668343250855,0.4219617482935878,-0.14986447601761155,5.920361686518822,-8.852659,13.043195,-1.006095,-6.2015038,5.607642690311315,11.809146490311315,0.21022738695511511
2,jumpingjacks,1.6411785594862376,2.19074999569661,-3.0631626,7.9962916,1.541617904833296,0.39100742041891734,2.7541846463053665,2.3631772258864494,0.3996878813525206,-0.5514427701453584,1.9566004922114204,-4.46783435,5.3480263,-0.81149036,-1.8162243735955474,0.18148441232185245,1.9977087859173999,0.7646280484732952,0.6432436858543004,1.3879549364763097,-4.08686055,4.928736150000001,0.6301821429980886,-0.086087116602095,1.51919535,1.605282466602095,-0.1858170188499732,-0.32346097302023696,3.684264012195526,-8.561888,10.709079,0.20341812,-2.833193,2.2507348253940798,5.083927825394079,-0.09496955377691878,0.2545439007988752,2.4075707522733834,-5.83865,8.932682,0.089186326,-1.5107223932919753,1.941780200875,3.452502594166975,0.29360653696394134,-0.36863284178155165,6.453962544586266,-10.66082,11.657752,-1.4795157,-6.124685634704253,6.023784475196548,12.148470109900801,0.18312478222853137
3,jumpingjacks,1.7654837225256073,2.3002586756146206,-3.8224244,7.9962916,1.7381566238736048,0.47406766930188504,2.8564538683568155,2.38238619905493,0.22888898425357534,-0.776923900593118,2.0751861709173363,-5.8717737,6.121444,-1.17952844071776,-1.8199622759939926,-0.2115650585847168,1.6083972174092758,1.0255249205112216,0.8213475536788141,1.3811039187274883,-3.46073175,5.742301,0.8173171800000001,-0.03349685775,1.3834621029508187,1.4169589607008186,0.4671967676428587,-0.13296179146149073,3.7384311989583603,-8.458651,8.1440555,0.36713,-3.604012945485411,2.922429856396346,6.526442801881757,-0.22981543426995302,0.36098083479289794,1.9977766367707632,-6.3212337,8.301048,0.314577799194968,-0.7488232663610702,1.4927256,2.2415488663610703,0.07963817852836459,-0.39645927336011333,6.940823240633464,-10.961366,12.44027,-1.2410663945463014,-7.152239475,6.689924527644,13.842164002644001,0.0924398664561981
4,jumpingjacks,1.958102421772764,2.479354606614299,-5.08554295,7.9962916,1.898932088240021,0.54412565,3.3125410646668954,2.7684154146668956,0.22691121217129787,-1.0200103895016919,1.998468818076615,-5.7331486,5.462489,-1.3159283038632785,-2.143676807423308,-0.3089088612768033,1.8347679461465045,1.0100550955769476,0.7814564851123705,1.498422708850541,-5.3204482,6.755261,0.7656513166825628,-0.006044489402828425,1.4722937648790355,1.478338254281864,0.3447523922886768,-0.32489435642848113,3.6992643628967627,-10.2820835,8.594874,0.08529206499999994,-3.124161469534592,2.296624355,5.420785824534592,-0.2672914163692672,0.45212742881067963,2.1230161334598963,-7.2552466,8.031656,0.26297788149527435,-0.582841721284224,1.5512350657734755,2.1340767870576993,0.10895346841245704,-0.11607281130105766,7.488381606213988,-11.457389,15.1616755,-0.792440575001472,-7.507535100776317,7.178469028760902,14.686004129537219,0.10704520483437373
5,lifting,0.23128512552471192,0.4072853189155778,-0.6856381433333333,1.1646413,0.1860755559077639,-0.08180699125695709,0.6222493670269795,0.7040563582839366,0.08815905124324884,0.06294469699984602,0.12812377599431107,-0.30336314,0.381583495,0.0712010955454363,-0.0206865600545819,0.14584661814423075,0.16653317819881264,-0.037883891839637356,0.7512355520905122,0.7009730815804605,-0.8542004,1.9339097,0.8257321511650133,0.31465620206933115,1.308329301399205,0.9936730993298739,-0.4455413074982668,-0.04271933496357866,0.6548424137327996,-1.7831156333333336,1.608957993,-0.05928484536295835,-0.3718762074386185,0.3701046982079019,0.7419809056465204,-0.10554527192274962,1.5705735530645992,2.415484913196699,-4.303938321428571,5.906019499999999,2.5155608821678848,-0.14431348947077915,3.29529103916561,3.439604528636389,-0.6949327747317833,-0.1307766886476049,0.49953184723516636,-1.4978416,0.88514376,-0.08830494067216335,-0.42988377221768304,0.22878571510641554,0.6586694873240986,-0.37558401232759403
6,lifting,0.25690806316592024,0.3866061767426569,-0.737434226875,0.90899123,0.219651525,-0.07988063217658889,0.6485007463061528,0.7283813784827418,-0.119903547715799,0.061020140588752034,0.08008237024741799,-0.1308553633333333,0.34412071,0.0526294107577231,0.00487285873712105,0.1042011774283618,0.09932831869124074,0.7917118972930272,0.5643204710641707,0.6325414370490317,-0.847976925,1.97515525,0.7464490766666666,0.069678345,1.0299664136660367,0.9602880686660367,-0.44317021972347115,-0.08697999527654365,0.49309598174251273,-1.9553796,1.13083374,-0.012217305,-0.4410600580294046,0.28649562902707615,0.7275556870564808,-0.7576544843047103,1.286982321108919,2.899062182062491,-4.5747088300000005,4.583322,2.5612600357471176,-1.5398307238685816,3.6257514882166637,5.165582212085245,-0.6750397300849136,-0.1292037195098908,0.3870992632922308,-1.1630874,0.72494435,-0.0695255168518518,-0.3929492519833333,0.16204898996046213,0.5549982419437954,-0.44455522092047633
7,lifting,0.08250577936145798,0.49071112029399644,-0.8645278421052631,1.01051908,0.01388075656,-0.34039069232260966,0.47966402,0.8200547123226096,0.14340096067639974,0.07489874602967486,0.10283200995174684,-0.224044555,0.4165708571428571,0.08828262660416665,0.01830429375,0.13772873974222224,0.11942444599222224,-0.16449766616469447,0.7014324847433957,0.620125899345108,-0.9515792,1.90974805,0.902493239129984,0.3076040780824615,1.1880589597729383,0.8804548816904768,-0.7829662294722728,0.03261563733153874,0.5740555921709165,-2.03283736,1.693572984166667,0.07096218072916666,-0.2955408641445723,0.38768563599038136,0.6832265001349537,-0.47471139181970984,0.7573264257579461,2.9698862122794956,-4.4306054,5.4000487,2.097028062237343,-2.391149684208674,3.2825721203037905,5.673721804512464,-0.3952691354646837,-0.03279337644988632,0.4626276286814575,-1.5864171,1.1459832,-0.09391235483915385,-0.33947306670964916,0.32568377226133094,0.6651568389709801,0.030671559093272335
8,lifting,0.2223901349185463,0.4258191373470469,-0.6765267,0.9604629,0.1965881136363636,-0.1112594590030393,0.6775515720288989,0.7888110310319383,-0.001914245173563153,0.0670792423549425,0.08639592406621188,-0.1914151560434782,0.328745115,0.0767631980256572,0.011869806025751401,0.11539660542879296,0.10352679940304156,-0.08845407247900032,0.6428661569870812,0.560848732161956,-0.6973691719999999,1.7960783,0.8044459572542836,0.113366602853606,1.04646453169799,0.9330979288443839,-0.32815675665243116,-0.031098607859356215,0.4800648312987758,-2.1991148,1.627345,-0.0445175275715576,-0.2786567557301186,0.26478598111630347,0.5434427368464221,-0.25135670621763107,1.4320307200928746,2.4433825450796705,-4.234518,4.575991566666667,2.40619921431744,-0.31219779180298546,3.586209415301062,3.8984072071040474,-0.6665616235120905,-0.02811702415180511,0.3722835345561311,-0.8193739233333334,0.91477068,-0.0289003024141806,-0.30608081784890573,0.23821127296892203,0.5442920908178277,0.09791175549818092
9,lifting,0.321660979460711,0.3804606395179411,-0.5775919875,0.9318105466666666,0.3464643812590956,0.0286205364005134,0.6807236407298272,0.6521031043293137,-0.17917688265761592,0.05353770359683688,0.04745508686237463,-0.10409041637,0.16046763,0.0524204001458125,0.02021232181617365,0.08228455349582818,0.06207223167965453,-0.11477017381544621,0.5926822168585074,0.5193043024130022,-0.3701651099999999,1.7462784299999998,0.6534746153144543,0.2015483793696392,1.0078527832463813,0.8063044038767421,-0.2703321627972083,0.06861251316578793,0.43513682735776843,-1.018835955714286,1.110553,0.12767367174848354,-0.19675787746665965,0.35509972529240713,0.5518576027590668,0.07451719847776428,-0.1443182535942146,2.5824840185496782,-3.7549886666666654,3.8784707285714286,-0.1174935825943728,-2.987172706629976,2.4987265911981087,5.485899297828085,0.025301719250080693,-0.020166360423426538,0.22527926870578627,-0.62124997,0.4605924,0.03916108915073855,-0.08368854240447407,0.14059583587317145,0.22428437827764552,-1.2458898639862874
